accession	accession.version	taxid	gi
GCA002707325	GCA002707325.1	208551	
GCF000582685	GCF000582685.1	216189	
GCF001428105	GCF001428105.1	221681	
GCF900637205	GCF900637205.1	236895	
GCF003730115	GCF003730115.1	236843	
GCF003259615	GCF003259615.1	216972	
GCA900552345	GCA900552345.1	194173	
GCF003364115	GCF003364115.1	178357	
GCF001679665	GCF001679665.1	224846	
GCF002910915	GCF002910915.1	233499	
GCF000299935	GCF000299935.1	189384	
GCF002006735	GCF002006735.1	192986	
GCF002215495	GCF002215495.1	201739	
GCF900128945	GCF900128945.1	177156	
GCA002351725	GCA002351725.1	219497	
GCA001771545	GCA001771545.1	168694	
GCF000341245	GCF000341245.1	184720	
GCF001654495	GCF001654495.1	190646	
GCF000682715	GCF000682715.1	162696	
GCF002245695	GCF002245695.1	217046	
GCF000423705	GCF000423705.1	233492	
GCF000756815	GCF000756815.1	185642	
GCA007123885	GCA007123885.1	175829	
GCA002329705	GCA002329705.1	236809	
GCF001307195	GCF001307195.1	217289	
GCA003641675	GCA003641675.1	211624	
GCF001552435	GCF001552435.1	208435	
GCF005870085	GCF005870085.1	227377	
GCF001458315	GCF001458315.1	161923	
GCF003123725	GCF003123725.1	205364	
GCF001556125	GCF001556125.1	150518	
GCA003641345	GCA003641345.1	236379	
GCF900660495	GCF900660495.1	179874	
GCF000470775	GCF000470775.1	211615	
GCA003645735	GCA003645735.1	227492	
GCA002470185	GCA002470185.1	211991	
GCF900091465	GCF900091465.1	195229	
GCA003232155	GCA003232155.1	222275	
GCF001644225	GCF001644225.1	200875	
GCF001619755	GCF001619755.1	176726	
GCF900111025	GCF900111025.1	220469	
GCF000719695	GCF000719695.1	232880	
GCA001897745	GCA001897745.1	218811	
GCA003563865	GCA003563865.1	204346	
GCA001941205	GCA001941205.1	157372	
GCF005938025	GCF005938025.1	199165	
GCA003163855	GCA003163855.1	189457	
GCF003934295	GCF003934295.1	234480	
GCF004766125	GCF004766125.1	175211	
GCF900114975	GCF900114975.1	229139	
GCF900177675	GCF900177675.1	185561	
GCF000508885	GCF000508885.1	165106	
GCF000469325	GCF000469325.1	220717	
GCF001511835	GCF001511835.1	220342	
GCA002373555	GCA002373555.1	170282	
GCA002291875	GCA002291875.1	197721	
GCF003438075	GCF003438075.1	193416	
GCF000499785	GCF000499785.1	227914	
GCF001632845	GCF001632845.1	221500	
GCA002162675	GCA002162675.1	205805	
GCA007109405	GCA007109405.1	213673	
GCA002315615	GCA002315615.1	238733	
GCF001651035	GCF001651035.1	197304	
GCF000708045	GCF000708045.1	169327	
GCA000435055	GCA000435055.1	154814	
GCF001942405	GCF001942405.1	181695	
GCA002728175	GCA002728175.1	233189	
GCF000943555	GCF000943555.1	216319	
GCA900546545	GCA900546545.1	180377	
GCF001426185	GCF001426185.1	171790	
GCF003148385	GCF003148385.1	212564	
GCA003212375	GCA003212375.1	220368	
GCF000374165	GCF000374165.1	224310	
GCF000198775	GCF000198775.1	231175	
GCA002842135	GCA002842135.1	232399	
GCA003232385	GCA003232385.1	213999	
GCA002336115	GCA002336115.1	193377	
GCF000297775	GCF000297775.1	174857	
GCF000935125	GCF000935125.1	203105	
GCF000364725	GCF000364725.1	193864	
GCF003313325	GCF003313325.1	229456	
GCA002698785	GCA002698785.1	227195	
GCA002704225	GCA002704225.1	170379	
GCA003282225	GCA003282225.1	225946	
GCF900116395	GCF900116395.1	223521	
GCF004320535	GCF004320535.1	208275	
GCA002282715	GCA002282715.1	170613	
GCF003340345	GCF003340345.1	182796	
GCF006539945	GCF006539945.1	213627	
GCA004297495	GCA004297495.1	233469	
GCF000612725	GCF000612725.1	184218	
GCF001049495	GCF001049495.1	232249	
GCA002413305	GCA002413305.1	169069	
GCF900115595	GCF900115595.1	227645	
GCA003453435	GCA003453435.1	202184	
GCF900155965	GCF900155965.1	228268	
GCF000801895	GCF000801895.1	225223	
GCA000990565	GCA000990565.1	203413	
GCA004557735	GCA004557735.1	153727	
GCF001418645	GCF001418645.1	231995	
GCF002096835	GCF002096835.1	231670	
GCA003223775	GCA003223775.1	206896	
GCF001668615	GCF001668615.1	213760	
GCA002685115	GCA002685115.1	235008	
GCA002728675	GCA002728675.1	207829	
GCF001700515	GCF001700515.1	220503	
GCF001683335	GCF001683335.1	218739	
GCA002483205	GCA002483205.1	227599	
GCA001513285	GCA001513285.1	235851	
GCA002239085	GCA002239085.1	230968	
GCA003045065	GCA003045065.1	237706	
GCF001439665	GCF001439665.1	187332	
GCA001578795	GCA001578795.1	202547	
GCF001907295	GCF001907295.1	212436	
GCA004211435	GCA004211435.1	218614	
GCA004553575	GCA004553575.1	230139	
GCF003269295	GCF003269295.1	186112	
GCA002305315	GCA002305315.1	212519	
GCF900156865	GCF900156865.1	235881	
GCF000527095	GCF000527095.1	237088	
GCA004213555	GCA004213555.1	174337	
GCA001770935	GCA001770935.1	204412	
GCA002297645	GCA002297645.1	189541	
GCA001830285	GCA001830285.1	232950	
GCA002305585	GCA002305585.1	233342	
GCF900116115	GCF900116115.1	205928	
GCF000224105	GCF000224105.1	173245	
GCF001006005	GCF001006005.1	143123	
GCA003556985	GCA003556985.1	199290	
GCF000711725	GCF000711725.1	225761	
GCF000014905	GCF000014905.1	232360	
GCA003278545	GCA003278545.1	212920	
GCA004356895	GCA004356895.1	211557	
GCF000252445	GCF000252445.1	223038	
GCA003132905	GCA003132905.1	232982	
GCA900699035	GCA900699035.1	236679	
GCA002364735	GCA002364735.1	239616	
GCF004343515	GCF004343515.1	195115	
GCA002422995	GCA002422995.1	194500	
GCF000974805	GCF000974805.1	196854	
GCF000269605	GCF000269605.1	178524	
GCF900129025	GCF900129025.1	225956	
GCF000378125	GCF000378125.1	198672	
GCA002350605	GCA002350605.1	216760	
GCF004959855	GCF004959855.1	217969	
GCA003447545	GCA003447545.1	198796	
GCF001298715	GCF001298715.1	181178	
GCF004564215	GCF004564215.1	213897	
GCF003991875	GCF003991875.1	223761	
GCF006335125	GCF006335125.1	193077	
GCA000431575	GCA000431575.1	187409	
GCA004214155	GCA004214155.1	227362	
GCF003290225	GCF003290225.1	171544	
GCF001028665	GCF001028665.1	148729	
GCF900585905	GCF900585905.1	229973	
GCA900316975	GCA900316975.1	165874	
GCA002387605	GCA002387605.1	157007	
